n,M_g_per_mol,weight_fraction,Mn,Mw,PDI
1,28.05,1.4019906182694094e-08,1402187.8329780614,2804347.635020272,1.9999800091434317
2,56.1,2.803925144428381e-08,1402187.8329780614,2804347.635020272,1.9999800091434317
3,84.15,4.205803580160077e-08,1402187.8329780614,2804347.635020272,1.9999800091434317
4,112.2,5.6076259271475944e-08,1402187.8329780614,2804347.635020272,1.9999800091434317
5,140.25,7.009392187073974e-08,1402187.8329780614,2804347.635020272,1.9999800091434317
6,168.3,8.411102361622255e-08,1402187.8329780614,2804347.635020272,1.9999800091434317
7,196.35,9.812756452475287e-08,1402187.8329780614,2804347.635020272,1.9999800091434317
8,224.4,1.1214354461316065e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
9,252.45000000000002,1.261589638982744e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
10,280.5,1.4017382239692277e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
11,308.55,1.5418812012593388e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
12,336.6,1.6820185710213285e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
13,364.65000000000003,1.8221503334234812e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
14,392.7,1.9622764886340837e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
15,420.75,2.102397036821357e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
16,448.8,2.2425119781535827e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
17,476.85,2.3826213127989822e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
18,504.90000000000003,2.522725040925834e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
19,532.95,2.6628231627023814e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
20,561.0,2.8029156782968317e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
21,589.0500000000001,2.943002587877443e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
22,617.1,3.0830838916124185e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
23,645.15,3.2231595896700213e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
24,673.2,3.363229682218433e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
25,701.25,3.503294169425894e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
26,729.3000000000001,3.6433530514606025e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
27,757.35,3.7834063284907716e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
28,785.4,3.9234540006845935e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
29,813.45,4.063496068210247e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
30,841.5,4.2035325312359844e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
31,869.5500000000001,4.343563389929966e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
32,897.6,4.483588644460367e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
33,925.65,4.6236082949953266e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
34,953.7,4.763622341703071e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
35,981.75,4.903630784751781e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
36,1009.8000000000001,5.043633624309577e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
37,1037.8500000000001,5.18363086054467e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
38,1065.9,5.323622493625163e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
39,1093.95,5.463608523719253e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
40,1122.0,5.603588950995089e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
41,1150.05,5.743563775620754e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
42,1178.1000000000001,5.883532997764474e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
43,1206.15,6.023496617594284e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
44,1234.2,6.1634546352784e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
45,1262.25,6.303407050984907e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
46,1290.3,6.443353864881941e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
47,1318.3500000000001,6.583295077137578e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
48,1346.4,6.723230687920032e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
49,1374.45,6.863160697397286e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
50,1402.5,7.003085105737512e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
51,1430.55,7.143003913108794e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
52,1458.6000000000001,7.282917119679205e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
53,1486.65,7.422824725616902e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
54,1514.7,7.56272673108991e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
55,1542.75,7.702623136266337e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
56,1570.8,7.842513941314189e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
57,1598.8500000000001,7.982399146401637e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
58,1626.9,8.12227875169672e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
59,1654.95,8.262152757367415e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
60,1683.0,8.402021163581944e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
